name,code,gender
CAGLAR,TR,M
CAGLASU,TR,F
CAGLAYAN,TR,M
CAGN,TR,M
CAGR,TR,M
CAHIDE,TR,F
CAHIT,TR,M
CAN,TR,M
CANALP,TR,M
CANAN,TR,F
CANBERK,TR,M
CANDAN,TR,F
CANER,TR,M
CANKUT,TR,M
CANO,TR,M
CANSEL,TR,F
CANSER,TR,F
CANSEVER,TR,F
CANSN,TR,F
CANSU,TR,F
CAVIDAN,TR,F
CAVIDE,TR,F
CAVIT,TR,M
CEBRAIL,TR,M
CELAL,TR,M
CELALETTIN,TR,M
CELEP,TR,M
CELIK,TR,M
CELIL,TR,M
CEM,TR,M
CEMAL,TR,M
CEMALETTIN,TR,M
CEMIL,TR,M
CEMILE,TR,F
CEMRE,TR,F
CENAP,TR,M
CENGIZ,TR,M
CENGIZHAN,TR,M
CENK,TR,M
CENNET,TR,F
CEREN,TR,F
CESUR,TR,M
CETIN,TR,M
CEVAHIR,TR,?
CEVAT,TR,M
CEVDET,TR,M
CEVRIYE,TR,F
CEYDA,TR,F
CEYHAN,TR,?
CEYHUN,TR,M
CEYLAN,TR,F
CEZMI,TR,M
CICEK,TR,F
CIDEM,TR,F
CIGDEM,TR,F
CIHAD,TR,M
CIHAN,TR,M
CIHANGIR,TR,M
CIHAT,TR,M
CIMEN,TR,F
CNAR,TR,M
COSAR,TR,M
COSKUN,TR,M
CUMA,TR,M
CUMALI,TR,M
CUMHUR,TR,M
CUNEYT,TR,M
DAGHAN,TR,M
DAMLA,TR,F
DAVUT,TR,M
DEDE,TR,M
DEFNE,TR,F
DEHA,TR,M
DEMET,TR,F
DEMIR,TR,M
DEMIRCAN,TR,M
DEMIRHAN,TR,M
DENIZ,TR,F
DENIZCAN,TR,M
DENIZHAN,TR,M
DERVIS,TR,M
DERVISHAN,TR,M
DERYA,TR,F
DEVRAN,TR,M
DEVRIM,TR,M
DICLE,TR,F
DIDEM,TR,F
DIGDEM,TR,F
DILAN,TR,F
DILARA,TR,F
DILAVER,TR,M
DILAY,TR,F
DILBER,TR,F
DILEK,TR,F
DILSAD,TR,F
DINCER,TR,M
DIREN,TR,F
DIRENC,TR,M
DOGA,TR,F
DOGAC,TR,M
DOGACAN,TR,M
DOGAN,TR,M
DOGANCAN,TR,M
DOGU,TR,M
DOGUCAN,TR,M
DOGUKAN,TR,M
DOGUS,TR,M
DONDU,TR,F
DONE,TR,F
DONUS,TR,F
DORUK,TR,M
DORUKAN,TR,M
DORUKHAN,TR,M
DUDU,TR,F
DUNDAR,TR,M
DUNYA,TR,F
DURAN,TR,M
DURDANE,TR,F
